"","hydrophytes_3pa","BMI_20","EPT_pa","livedeadalg_pa","probE","probI","probP","NewRule","SI_Present","FinalClassification"
"1",0,0,0,0,0.940666666666667,0.0593333333333333,0,"E",0,"Ephemeral"
"2",0,0,0,1,0.262666666666667,0.565333333333333,0.172,"I",0,"Intermittent"
"3",0,0.5,0,0,0.426,0.33,0.244,"LTP",0,"Less than perennial"
"4",0,0.5,0,1,0.242,0.448666666666667,0.309333333333333,"ALI",0,"At least intermittent"
"5",0,0.5,1,0,0.104666666666667,0.620666666666667,0.274666666666667,"I",0,"Intermittent"
"6",0,0.5,1,1,0.0313333333333333,0.448,0.520666666666667,"P",0,"Perennial"
"7",0,1,0,0,0.502666666666667,0.325333333333333,0.172,"E",0,"Ephemeral"
"8",0,1,0,1,0.550666666666667,0.290666666666667,0.158666666666667,"E",0,"Ephemeral"
"9",0,1,1,0,0.052,0.666,0.282,"I",0,"Intermittent"
"10",0,1,1,1,0.0166666666666667,0.581333333333333,0.402,"I",0,"Intermittent"
"11",0.5,0,0,0,0.352,0.645333333333333,0.00266666666666667,"I",0,"Intermittent"
"12",0.5,0,0,1,0.118666666666667,0.667333333333333,0.214,"I",0,"Intermittent"
"13",0.5,0.5,0,0,0.0793333333333333,0.774666666666667,0.146,"I",0,"Intermittent"
"14",0.5,0.5,0,1,0.0146666666666667,0.572,0.413333333333333,"I",0,"Intermittent"
"15",0.5,0.5,1,0,0.006,0.672,0.322,"I",0,"Intermittent"
"16",0.5,0.5,1,1,0,0.423333333333333,0.576666666666667,"P",0,"Perennial"
"17",0.5,1,0,0,0.169333333333333,0.606,0.224666666666667,"I",0,"Intermittent"
"18",0.5,1,0,1,0.220666666666667,0.535333333333333,0.244,"I",0,"Intermittent"
"19",0.5,1,1,0,0.002,0.486666666666667,0.511333333333333,"P",0,"Perennial"
"20",0.5,1,1,1,0,0.788666666666667,0.211333333333333,"I",0,"Intermittent"
"21",1,0,0,0,0.284666666666667,0.534,0.181333333333333,"I",0,"Intermittent"
"22",1,0,0,1,0.0953333333333333,0.586666666666667,0.318,"I",0,"Intermittent"
"23",1,0.5,0,0,0.046,0.508666666666667,0.445333333333333,"I",0,"Intermittent"
"24",1,0.5,0,1,0.00333333333333333,0.478666666666667,0.518,"P",0,"Perennial"
"25",1,0.5,1,0,0.00266666666666667,0.157333333333333,0.84,"P",0,"Perennial"
"26",1,0.5,1,1,0,0.0706666666666667,0.929333333333333,"P",0,"Perennial"
"27",1,1,0,0,0.102666666666667,0.384,0.513333333333333,"P",0,"Perennial"
"28",1,1,0,1,0.118666666666667,0.327333333333333,0.554,"P",0,"Perennial"
"29",1,1,1,0,0.000666666666666667,0.07,0.929333333333333,"P",0,"Perennial"
"30",1,1,1,1,0,0.0266666666666667,0.973333333333333,"P",0,"Perennial"
"31",0,0,0,0,0.940666666666667,0.0593333333333333,0,"E",1,"At least intermittent"
"32",0,0,0,1,0.262666666666667,0.565333333333333,0.172,"I",1,"Intermittent"
"33",0,0.5,0,0,0.426,0.33,0.244,"LTP",1,"At least intermittent"
"34",0,0.5,0,1,0.242,0.448666666666667,0.309333333333333,"ALI",1,"At least intermittent"
"35",0,0.5,1,0,0.104666666666667,0.620666666666667,0.274666666666667,"I",1,"Intermittent"
"36",0,0.5,1,1,0.0313333333333333,0.448,0.520666666666667,"P",1,"Perennial"
"37",0,1,0,0,0.502666666666667,0.325333333333333,0.172,"E",1,"At least intermittent"
"38",0,1,0,1,0.550666666666667,0.290666666666667,0.158666666666667,"E",1,"At least intermittent"
"39",0,1,1,0,0.052,0.666,0.282,"I",1,"Intermittent"
"40",0,1,1,1,0.0166666666666667,0.581333333333333,0.402,"I",1,"Intermittent"
"41",0.5,0,0,0,0.352,0.645333333333333,0.00266666666666667,"I",1,"Intermittent"
"42",0.5,0,0,1,0.118666666666667,0.667333333333333,0.214,"I",1,"Intermittent"
"43",0.5,0.5,0,0,0.0793333333333333,0.774666666666667,0.146,"I",1,"Intermittent"
"44",0.5,0.5,0,1,0.0146666666666667,0.572,0.413333333333333,"I",1,"Intermittent"
"45",0.5,0.5,1,0,0.006,0.672,0.322,"I",1,"Intermittent"
"46",0.5,0.5,1,1,0,0.423333333333333,0.576666666666667,"P",1,"Perennial"
"47",0.5,1,0,0,0.169333333333333,0.606,0.224666666666667,"I",1,"Intermittent"
"48",0.5,1,0,1,0.220666666666667,0.535333333333333,0.244,"I",1,"Intermittent"
"49",0.5,1,1,0,0.002,0.486666666666667,0.511333333333333,"P",1,"Perennial"
"50",0.5,1,1,1,0,0.788666666666667,0.211333333333333,"I",1,"Intermittent"
"51",1,0,0,0,0.284666666666667,0.534,0.181333333333333,"I",1,"Intermittent"
"52",1,0,0,1,0.0953333333333333,0.586666666666667,0.318,"I",1,"Intermittent"
"53",1,0.5,0,0,0.046,0.508666666666667,0.445333333333333,"I",1,"Intermittent"
"54",1,0.5,0,1,0.00333333333333333,0.478666666666667,0.518,"P",1,"Perennial"
"55",1,0.5,1,0,0.00266666666666667,0.157333333333333,0.84,"P",1,"Perennial"
"56",1,0.5,1,1,0,0.0706666666666667,0.929333333333333,"P",1,"Perennial"
"57",1,1,0,0,0.102666666666667,0.384,0.513333333333333,"P",1,"Perennial"
"58",1,1,0,1,0.118666666666667,0.327333333333333,0.554,"P",1,"Perennial"
"59",1,1,1,0,0.000666666666666667,0.07,0.929333333333333,"P",1,"Perennial"
"60",1,1,1,1,0,0.0266666666666667,0.973333333333333,"P",1,"Perennial"
